#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC6350;As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.;J'étais allongé dans mon lit au milieu de la nuit lorsque les grognements et les sifflements de mon chat préféré m'ont réveillé. La chambre était animée par le bruit de grattements et de trottinements provenant de l'intérieur des murs. J'ai bondi hors du lit, mais les bruits se sont tus. Mes recherches subséquentes n'ont rien révélé de plus que des murs de pierre colmatés. ;Als ich nachts in meinem Bett lag, erwachte ich von dem Fauchen und Knurren meiner Lieblingskatze. Das Schlafzimmer war erfüllt von Kratzgeräuschen, die direkt aus den Wänden zu kommen schienen. Ich sprang aus dem Bett, doch die Geräusche verschwanden abrupt und eine gründliche Untersuchung des Raums und der Steinwände brachte kein Ergebnis.;;Estaba tumbado en mi cama por la noche cuando de repente me despertó el silbido y gruñido de mi gato favorito. El dormitorio estaba vivo con ruidos chirriantes provenientes de las mismísimas paredes. Salté de la cama, pero los ruidos desaparecieron de repente y la subsecuente investigación de la habitación no reveló nada más que paredes de piedra con manchas de humedad.;;;;;;;;;x
EVTOPTA6350;Could there be rats in the walls?;Y aurait-il des rats dans le mur ?;Könnten sich Ratten in den Wänden befinden?;;¿Podría haber ratas en las paredes?;;;;;;;;;x
EVTOPTB6350;Just a dream, nothing more;Rien de plus qu'un rêve;Nur ein Traum, nichts weiter;;Simplemente un sueño, nada más;;;;;;;;;x
EVTDESC6351;The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange light emanating from the well. I peered inside and saw a color like no color I had ever seen before. It was like smoke, cold and wet but burning my skin where it touched.;Le serviteur que j'ai envoyé chercher de l'eau n'est jamais revenu et lorsque je suis allé voir ce qui se passait, j'ai remarqué une étrange lueur émanant du puits. En regardant à l'intérieur, j'ai vu une couleur comme jamais je n'en avais vu auparavant. C'était comme de la fumée, froide et humide. Pourtant elle a brûlé ma peau au contact.;Der Bedienstete, den ich zum Wasser holen geschickt hatte, kehrte nie zurück und als ich nachschauen ging, bemerkte ich einen merkwürdigen Lichtschein im Brunnen. Ich wagte einen Blick hinein und sah eine mir gänzlich unbekannte Farbe, ähnlich wie Rauch, kalt und nass, und dennoch verbrannte sie die Haut bei Berührung.;;El sirviente que había enviado a buscar agua no volvía, y cuando fui a investigar noté una extraña luz que emanaba del pozo. Eché un vistazo dentro y vi un color como nunca antes había visto. Era como humo, frío y húmedo pero que quemaba mi piel al tocarla.;;;;;;;;;x
EVTOPTA6351;That color is not from this earth!;Cette couleur n'est pas de ce monde !;Diese Farbe ist nicht von dieser Welt!;;¡Ese color no es de esta tierra!;;;;;;;;;x
EVTOPTB6351;The well must have gone bad;L'eau de ce puits doit être pourrie;Das Brunnenwasser muss schlecht geworden sein;;El pozo debe de haberse estropeado;;;;;;;;;x
EVTDESC6352;I had repeatedly questioned my servant about the locked mausoleum beneath the castle but it wasn't until today that I found the key, hidden inside a rotting chest in the oldest castle tower. Inside the tomb's dusty passageways I found an empty stone coffin which bore the inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;J'avais maintes fois questionné mon serviteur à propos de ce mausolée verrouillé situé sous le château, mais ce n'est qu'aujourd'hui que j'ai trouvé la clé, cachée dans un coffre désagrégé qui se trouvait dans la plus vieille tour du château. Dans les couloirs poussiéreux du tombeau, j'ai trouvé un cercueil de pierre vide portant l'inscription « [Root.GetFirstName] [Root.GetOnlyDynastyName] ».;Ich fragte meinen Diener wiederholt nach dem verschlossenen Mausoleum unter dem Schloss, doch ich fand erst heute den Schlüssel in einer verrotteten Truhe im ältesten Schlossturm. In den staubigen Durchgängen des Gewölbes fand ich einen leeren Steinsarg mit der Inschrift "[Root.GetFirstName] [Root.GetOnlyDynastyName]".;;Había preguntado repetidamente a mi sirviente acerca del mausoleo cerrado detrás del castillo, pero no fue hasta hoy que encontré la llave, escondida dentro de un baúl podrido en la torre más vieja del castillo. Dentro del polvoriento pasadizo de la tumba encontré un ataúd de piedra vacío con la inscripción '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;;;;;;;;;x
EVTOPTA6352;This coffin looks comfortable to sleep in;Ce cercueil semble propice à un sommeil confortable ;Dieser Sarg sieht komfortabel genug aus, um darin zu schlafen;;Este ataúd parece cómodo para dormir en él.;;;;;;;;;x
EVTOPTB6352;Well, that was morbid... seal the tomb!;C'était morbide, ça... fermons ce tombeau !;Wie morbide... versiegelt das Gewölbe!;;Bien, eso era macabro… ¡Sella la tumba!;;;;;;;;;x
EVTDESC6353;An old cottar and his wife who were known for their cruelty to cats were found dead in their home this morning, their bones picked clean of meat. My steward tells me that the local townspeople had their cats go missing the day before, but all the missing cats returned today looking fat and happy...;Un vieux paysan et sa femme connus pour leur cruauté envers les chats ont été retrouvés morts ce matin à leur domicile, leurs os complètement nettoyés. Mon intendant me dit que les citadins locaux ont vu leurs chats disparaître la veille, mais qu'ils ont tous resurgi aujourd'hui, heureux et dodus...;Ein alter Farmer und seine Frau, beide bekannt für ihre Grausamkeit gegenüber Katzen, wurden heute morgen tot in ihrer Hütte aufgefunden, bis auf die Knochen abgenagt. Laut meinem Haushofmeister verschwanden die Katzen der lokalen Bevölkerung einen Tag vorher, doch heute kehrten sie alle zurück und sahen sehr satt und glücklich aus...;;Un viejo granjero y su mujer, conocidos por su crueldad con los gatos, fueron encontrados muertos en su casa esta mañana sin nada de carne en sus huesos, solamente el esqueleto. Mi asistente dice que los gatos de los habitantes locales habían desaparecido el día anterior, pero todos ellos regresaron hoy, gordos y felices…;;;;;;;;;x
EVTOPTA6353;Pass a law banning the killing of cats;Passez une loi pour bannir l'abattage de chats;Verabschiedet ein Gesetz gegen das Töten von Katzen;;Aprobar una ley que prohíbe la matanza de los gatos;;;;;;;;;x
EVTOPTB6353;A coincidence, nothing more;Une coïncidence, tout simplement;Ein Zufall, mehr nicht;;Una coincidencia, nada más;;;;;;;;;x
EVTTOOLTIP6354;Somewhere, a dreamer stirs...;Quelque part, un rêveur s'agite...;Und irgendwo regt sich ein Träumer im Schlaf...;;En algún lugar, un soñador despierta…;;;;;;;;;x
EVTDESC6354;Since the incident some weeks ago I have felt uneasy. I took a walk along the coast to clear my mind and found a small village where the people claimed to worship the 'Old Ones', Gods older than even those of the [Root.Religion.GetName] faith. They invited me to join in their rituals and showed me a dusty old grimoire written by a mad Saracen.;Depuis l'incident survenu il y a quelques semaines, je ne me sens pas très à l'aise. J'ai marché le long de la côte pour me changer les idées et j'ai trouvé un petit village où les gens disent vénérer les 'Anciens', des dieux plus vieux encore que ceux qui pratiquent le [Root.Religion.GetName]. Ils m'ont invité à me joindre à leurs rituels et m'ont montré un vieux grimoire poussiéreux écrit par un sarrasin fou. ;Seit dem Vorfall vor einigen Wochen bin ich unruhig. Ich machte einen Spaziergang an der Küste entlang, um mich auf andere Gedanken zu bringen und fand ein kleines Dorf, in dem die Bewohner den "Großen Alten" verehrten. Sie luden mich zu ihren Ritualen ein und zeigten mir ein staubiges, altes Buch, das von einem wahnsinnigen Sarazenen geschrieben worden ist.;;Desde el incidente de hace unas semanas me siento intranquilo. Dí un paseo a lo largo de la costa para aclarar mi mente y encontré un pequeño pueblo donde las personas afirmaban adorar a los ‘Ancianos’, dioses más viejos aún que los de la fe [Root.Religion.GetName]. Me invitaron a unirme a sus rituales y me enseñaron un grimorio viejo y empolvado, escrito por un sarraceno loco.;;;;;;;;;x
